isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true true EAST EAST 178 0
true true EAST SOUTH 177 10
true true SOUTH SOUTH 177 10
true true SOUTH SOUTH 177 10
true true SOUTH NORTH 177 10
true true NORTH WEST 176 20
true true WEST WEST 176 20
true true WEST EAST 176 20
true true EAST WEST 176 20
true true WEST NORTH 176 20
true true NORTH NORTH 175 30
true true NORTH EAST 175 30
true true EAST EAST 174 40
true true EAST NORTH 173 50
true true NORTH NORTH 173 50
true true NORTH NORTH 173 50
true true NORTH SOUTH 173 50
true true SOUTH EAST 173 50
true true EAST NORTH 173 50
true true NORTH NORTH 173 50
true true NORTH NORTH 173 50
true true NORTH NORTH 173 50
true true NORTH SOUTH 173 50
true true SOUTH SOUTH 173 50
true true SOUTH EAST 173 50
true true EAST NORTH 173 50
true true NORTH NORTH 173 50
true true NORTH SOUTH 173 50
true true SOUTH WEST 173 50
true true WEST SOUTH 173 50
true true SOUTH SOUTH 173 50
true true SOUTH SOUTH 173 50
true true SOUTH SOUTH 173 50
true true SOUTH SOUTH 172 60
true true SOUTH SOUTH 172 60
true true SOUTH NORTH 172 60
true true NORTH NORTH 172 60
true true NORTH SOUTH 172 60
true true SOUTH NORTH 172 60
true true NORTH EAST 172 60
true true EAST WEST 172 60
true true WEST EAST 172 60
true true EAST SOUTH 172 60
true true SOUTH EAST 172 60
true true EAST EAST 172 60
true true EAST WEST 172 60
true true WEST SOUTH 172 60
true true SOUTH WEST 172 60
true true WEST SOUTH 172 60
true true SOUTH NORTH 172 60
true true NORTH WEST 172 60
true true WEST SOUTH 172 60
true true SOUTH NORTH 172 60
true true NORTH NORTH 172 60
true true NORTH NORTH 172 60
true true NORTH SOUTH 172 60
true true SOUTH SOUTH 172 60
true true SOUTH SOUTH 172 60
true true SOUTH EAST 172 60
true true EAST WEST 171 70
true true WEST SOUTH 171 70
true true SOUTH NORTH 171 70
true true NORTH NORTH 171 70
true true NORTH EAST 171 70
true true EAST WEST 171 70
true true WEST EAST 171 70
true true EAST EAST 171 70
true true EAST EAST 171 70
true true EAST WEST 171 70
true true WEST SOUTH 171 70
true true SOUTH NORTH 171 70
true true NORTH NORTH 171 70
true true NORTH EAST 171 70
true true EAST SOUTH 171 70
true true SOUTH WEST 171 70
true true WEST WEST 171 70
true true WEST NORTH 171 70
true true NORTH SOUTH 171 70
true true SOUTH EAST 171 70
true true EAST NORTH 171 70
true true NORTH SOUTH 171 70
true true SOUTH WEST 171 70
true true WEST SOUTH 171 70
true true SOUTH EAST 171 70
true true EAST EAST 171 70
true true EAST NORTH 170 80
true true NORTH WEST 170 80
true true WEST SOUTH 170 80
true true SOUTH NORTH 170 80
true true NORTH WEST 170 80
true true WEST EAST 170 80
true true EAST WEST 170 80
true true WEST SOUTH 170 80
true true SOUTH EAST 170 80
true true EAST NORTH 170 80
true true NORTH NORTH 170 80
true true NORTH EAST 170 80
true true EAST WEST 170 80
true true WEST SOUTH 170 80
true true SOUTH WEST 170 80
true true WEST WEST 170 80
true true WEST EAST 170 80
true true EAST SOUTH 170 80
true true SOUTH EAST 170 80
true true EAST NORTH 170 80
true true NORTH NORTH 170 80
true true NORTH NORTH 170 80
true true NORTH SOUTH 170 80
true true SOUTH SOUTH 170 80
true true SOUTH NORTH 170 80
true true NORTH SOUTH 170 80
true true SOUTH EAST 170 80
true true EAST WEST 169 90
true true WEST NORTH 169 90
true true NORTH EAST 169 90
true true EAST WEST 169 90
true true WEST NORTH 169 90
true true NORTH EAST 169 90
true true EAST EAST 169 90
true true EAST SOUTH 168 100
true true SOUTH EAST 168 100
true true EAST WEST 167 110
true true WEST SOUTH 167 110
true true SOUTH NORTH 167 110
true true NORTH SOUTH 167 110
true true SOUTH SOUTH 167 110
true true SOUTH WEST 167 110
true true WEST SOUTH 167 110
true true SOUTH SOUTH 166 120
true true SOUTH SOUTH 165 130
true true SOUTH EAST 164 140
true true EAST NORTH 164 140
true true NORTH SOUTH 164 140
true true SOUTH SOUTH 164 140
true true SOUTH EAST 163 150
true true EAST WEST 162 160
true true WEST NORTH 162 160
true true NORTH NORTH 162 160
true true NORTH SOUTH 162 160
true true SOUTH SOUTH 162 160
true true SOUTH EAST 162 160
true true EAST SOUTH 162 160
true true SOUTH SOUTH 162 160
true true SOUTH SOUTH 162 160
true true SOUTH SOUTH 162 160
true true SOUTH SOUTH 162 160
true true SOUTH EAST 162 160
true true EAST NORTH 161 170
true true NORTH WEST 160 180
true true WEST EAST 160 180
true true EAST WEST 160 180
true true WEST SOUTH 160 180
true true SOUTH WEST 160 180
true true WEST WEST 160 180
true true WEST NORTH 160 180
true true NORTH WEST 160 180
true true WEST SOUTH 160 180
true true SOUTH EAST 160 180
true true EAST NORTH 160 180
true true NORTH NORTH 160 180
true true NORTH NORTH 160 180
true true NORTH NORTH 160 180
true true NORTH SOUTH 160 180
true true SOUTH NORTH 160 180
true true NORTH EAST 160 180
true true EAST NORTH 160 180
true true NORTH NORTH 160 180
true true NORTH SOUTH 159 190
true true SOUTH EAST 159 190
true true EAST SOUTH 159 190
true true SOUTH WEST 159 190
true true WEST WEST 159 190
true true WEST EAST 159 190
true true EAST WEST 159 190
true true WEST EAST 159 190
true true EAST NORTH 159 190
true true NORTH NORTH 159 190
true true NORTH SOUTH 159 190
true true SOUTH SOUTH 159 190
true true SOUTH NORTH 159 190
true true NORTH EAST 159 190
true true EAST WEST 159 190
true true WEST WEST 159 190
true true WEST SOUTH 159 190
true true SOUTH EAST 159 190
true true EAST SOUTH 159 190
true true SOUTH SOUTH 159 190
true true SOUTH WEST 159 190
true true WEST WEST 159 190
true true WEST SOUTH 159 190
true true SOUTH WEST 159 190
true true WEST SOUTH 159 190
true true SOUTH NORTH 159 190
true true NORTH EAST 159 190
true true EAST SOUTH 159 190
true true SOUTH WEST 159 190
true true WEST NORTH 159 190
true true NORTH SOUTH 159 190
true true SOUTH NORTH 159 190
true true NORTH EAST 159 190
true true EAST EAST 159 190
true true EAST EAST 159 190
true true EAST SOUTH 159 190
true true SOUTH WEST 159 190
true true WEST EAST 159 190
true true EAST NORTH 159 190
true true NORTH EAST 159 190
true true EAST NORTH 159 190
true true NORTH WEST 159 190
true true WEST EAST 159 190
true true EAST EAST 159 190
true true EAST WEST 159 190
true true WEST WEST 159 190
true true WEST EAST 159 190
true true EAST SOUTH 159 190
true true SOUTH NORTH 159 190
true true NORTH WEST 159 190
true true WEST NORTH 159 190
true true NORTH SOUTH 159 190
true true SOUTH NORTH 159 190
true true NORTH SOUTH 159 190
true true SOUTH WEST 159 190
true true WEST SOUTH 159 190
true true SOUTH WEST 159 190
true true WEST WEST 159 190
true true WEST NORTH 159 190
true true NORTH NORTH 159 190
true true NORTH WEST 159 190
true true WEST NORTH 158 200
true true NORTH SOUTH 158 200
true true SOUTH SOUTH 158 200
true true SOUTH NORTH 158 200
true true NORTH SOUTH 158 200
true true SOUTH NORTH 158 200
true true NORTH EAST 158 200
true true EAST SOUTH 158 200
true true SOUTH SOUTH 158 200
true true SOUTH EAST 158 200
true true EAST NORTH 158 200
