isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true true EAST WEST 178 0
true true WEST SOUTH 177 10
true true SOUTH EAST 177 10
true true EAST WEST 177 10
true true WEST EAST 177 10
true true EAST NORTH 177 10
true true NORTH WEST 177 10
true true WEST SOUTH 177 10
true true SOUTH SOUTH 177 10
true true SOUTH EAST 177 10
true true EAST WEST 177 10
true true WEST EAST 177 10
true true EAST EAST 177 10
true true EAST NORTH 176 20
true true NORTH NORTH 175 30
true true NORTH SOUTH 174 40
true true SOUTH NORTH 174 40
true true NORTH SOUTH 174 40
true true SOUTH WEST 174 40
true true WEST SOUTH 174 40
true true SOUTH WEST 174 40
true true WEST WEST 174 40
true true WEST NORTH 174 40
true true NORTH EAST 173 50
true true EAST NORTH 173 50
true true NORTH SOUTH 172 60
true true SOUTH SOUTH 172 60
true true SOUTH NORTH 172 60
true true NORTH EAST 172 60
true true EAST SOUTH 172 60
true true SOUTH SOUTH 172 60
true true SOUTH EAST 172 60
true true EAST NORTH 172 60
true true NORTH NORTH 172 60
true true NORTH SOUTH 172 60
true true SOUTH SOUTH 172 60
true true SOUTH WEST 172 60
true true WEST SOUTH 172 60
true true SOUTH SOUTH 172 60
true true SOUTH EAST 172 60
true true EAST NORTH 172 60
true true NORTH SOUTH 172 60
true true SOUTH SOUTH 172 60
true true SOUTH WEST 172 60
true true WEST WEST 172 60
true true WEST SOUTH 171 70
true true SOUTH WEST 171 70
true true WEST WEST 170 80
true true WEST EAST 169 90
true true EAST SOUTH 169 90
true true SOUTH WEST 169 90
true true WEST NORTH 169 90
true true NORTH SOUTH 169 90
true true SOUTH EAST 168 100
true true EAST EAST 168 100
true true EAST SOUTH 168 100
true true SOUTH EAST 167 110
true true EAST SOUTH 166 120
true true SOUTH NORTH 166 120
true true NORTH NORTH 166 120
true true NORTH NORTH 166 120
true true NORTH NORTH 166 120
true true NORTH EAST 166 120
true true EAST SOUTH 165 130
true true SOUTH NORTH 165 130
true true NORTH NORTH 165 130
true true NORTH EAST 165 130
true true EAST NORTH 164 140
true true NORTH NORTH 164 140
true true NORTH SOUTH 164 140
true true SOUTH SOUTH 163 150
true true SOUTH SOUTH 162 160
true true SOUTH NORTH 162 160
true true NORTH WEST 162 160
true true WEST WEST 162 160
true true WEST NORTH 162 160
true true NORTH SOUTH 162 160
true true SOUTH EAST 162 160
true true EAST EAST 162 160
true true EAST NORTH 162 160
true true NORTH NORTH 162 160
true true NORTH NORTH 162 160
true true NORTH WEST 162 160
true true WEST EAST 162 160
true true EAST WEST 162 160
true true WEST SOUTH 162 160
true true SOUTH WEST 162 160
true true WEST WEST 162 160
true true WEST NORTH 162 160
true true NORTH EAST 162 160
true true EAST SOUTH 162 160
true true SOUTH NORTH 162 160
true true NORTH EAST 162 160
true true EAST NORTH 162 160
true true NORTH WEST 162 160
true true WEST NORTH 161 170
true true NORTH EAST 161 170
true true EAST NORTH 161 170
true true NORTH WEST 161 170
true true WEST SOUTH 161 170
true true SOUTH NORTH 161 170
true true NORTH NORTH 161 170
true true NORTH SOUTH 161 170
true true SOUTH SOUTH 161 170
true true SOUTH WEST 161 170
true true WEST WEST 160 180
true true WEST WEST 160 180
true true WEST SOUTH 160 180
true true SOUTH WEST 159 190
true true WEST NORTH 159 190
true true NORTH EAST 159 190
true true EAST SOUTH 159 190
true true SOUTH SOUTH 159 190
true true SOUTH NORTH 159 190
true true NORTH SOUTH 159 190
true true SOUTH NORTH 159 190
true true NORTH SOUTH 159 190
true true SOUTH EAST 159 190
true true EAST NORTH 159 190
true true NORTH EAST 159 190
true true EAST EAST 159 190
true true EAST SOUTH 159 190
true true SOUTH NORTH 159 190
true true NORTH EAST 159 190
true true EAST EAST 159 190
true true EAST WEST 159 190
true true WEST SOUTH 159 190
true true SOUTH WEST 159 190
true true WEST WEST 159 190
true true WEST NORTH 159 190
true true NORTH SOUTH 159 190
true true SOUTH WEST 159 190
true true WEST SOUTH 159 190
true true SOUTH SOUTH 159 190
true true SOUTH NORTH 159 190
true true NORTH NORTH 159 190
true true NORTH EAST 159 190
true true EAST EAST 159 190
true true EAST WEST 159 190
true true WEST WEST 159 190
true true WEST WEST 159 190
true true WEST SOUTH 159 190
true true SOUTH WEST 159 190
true true WEST SOUTH 159 190
true true SOUTH EAST 159 190
true true EAST SOUTH 159 190
true true SOUTH EAST 158 200
true true EAST WEST 158 200
true true WEST EAST 157 210
true true EAST SOUTH 157 210
true true SOUTH SOUTH 157 210
true true SOUTH NORTH 157 210
true true NORTH SOUTH 157 210
true true SOUTH EAST 157 210
true true EAST EAST 157 210
true true EAST EAST 157 210
true true EAST EAST 157 210
true true EAST EAST 157 210
true true EAST SOUTH 157 210
true true SOUTH EAST 157 210
true true EAST WEST 157 210
true true WEST WEST 157 210
true true WEST NORTH 156 220
true true NORTH EAST 155 230
true true EAST SOUTH 155 230
true true SOUTH NORTH 155 230
true true NORTH WEST 155 230
true true WEST NORTH 155 230
true true NORTH NORTH 154 240
true true NORTH NORTH 154 240
true true NORTH WEST 154 240
true true WEST EAST 153 250
true true EAST NORTH 153 250
true true NORTH SOUTH 153 250
true true SOUTH EAST 153 250
true true EAST EAST 153 250
true true EAST SOUTH 153 250
true true SOUTH SOUTH 153 250
true true SOUTH SOUTH 153 250
true true SOUTH SOUTH 153 250
true true SOUTH NORTH 153 250
true true NORTH EAST 153 250
true true EAST SOUTH 153 250
true true SOUTH EAST 153 250
true true EAST WEST 153 250
true true WEST WEST 153 250
true true WEST WEST 152 260
true true WEST EAST 151 270
true true EAST WEST 151 270
true true WEST WEST 151 270
true true WEST SOUTH 151 270
true true SOUTH NORTH 150 280
true true NORTH NORTH 150 280
true true NORTH WEST 150 280
true true WEST SOUTH 150 280
true true SOUTH SOUTH 150 280
true true SOUTH NORTH 149 290
true true NORTH EAST 149 290
true true EAST SOUTH 149 290
true true SOUTH EAST 149 290
true true EAST NORTH 148 300
true true NORTH SOUTH 148 300
true true SOUTH SOUTH 148 300
true true SOUTH NORTH 148 300
true true NORTH NORTH 148 300
true true NORTH SOUTH 148 300
true true SOUTH WEST 148 300
true true WEST NORTH 148 300
true true NORTH NORTH 148 300
true true NORTH SOUTH 148 300
true true SOUTH NORTH 148 300
true true NORTH WEST 148 300
true true WEST NORTH 148 300
true true NORTH WEST 148 300
true true WEST WEST 148 300
true true WEST SOUTH 148 300
true true SOUTH EAST 148 300
true true EAST WEST 148 300
true true WEST WEST 148 300
true true WEST EAST 148 300
true true EAST NORTH 148 300
true true NORTH NORTH 148 300
true true NORTH NORTH 148 300
true true NORTH WEST 148 300
true true WEST NORTH 148 300
true true NORTH NORTH 148 300
true true NORTH EAST 148 300
true true EAST EAST 148 300
true true EAST SOUTH 148 300
true true SOUTH SOUTH 148 300
true true SOUTH NORTH 148 300
true true NORTH NORTH 148 300
true true NORTH NORTH 148 300
true true NORTH WEST 148 300
true true WEST NORTH 148 300
true true NORTH SOUTH 148 300
true true SOUTH NORTH 148 300
true true NORTH SOUTH 148 300
true true SOUTH SOUTH 148 300
true true SOUTH WEST 148 300
true true WEST SOUTH 147 310
true true SOUTH EAST 147 310
true true EAST EAST 147 310
true true EAST EAST 147 310
true true EAST SOUTH 147 310
true true SOUTH SOUTH 147 310
true true SOUTH WEST 147 310
true true WEST NORTH 147 310
true true NORTH EAST 147 310
true true EAST NORTH 147 310
true true NORTH NORTH 147 310
true true NORTH EAST 147 310
true true EAST NORTH 147 310
true true NORTH NORTH 147 310
true true NORTH EAST 147 310
true true EAST WEST 147 310
true true WEST EAST 147 310
true true EAST NORTH 147 310
true true NORTH WEST 147 310
true true WEST NORTH 147 310
true true NORTH EAST 147 310
true true EAST WEST 147 310
true true WEST SOUTH 147 310
true true SOUTH EAST 147 310
true true EAST NORTH 147 310
true true NORTH EAST 147 310
true true EAST EAST 147 310
true true EAST NORTH 147 310
true true NORTH EAST 147 310
true true EAST NORTH 147 310
true true NORTH SOUTH 147 310
true true SOUTH NORTH 147 310
true true NORTH SOUTH 147 310
true true SOUTH SOUTH 147 310
true true SOUTH NORTH 147 310
true true NORTH SOUTH 147 310
true true SOUTH NORTH 147 310
true true NORTH SOUTH 147 310
true true SOUTH EAST 147 310
true true EAST SOUTH 147 310
true true SOUTH NORTH 147 310
true true NORTH SOUTH 147 310
true true SOUTH EAST 147 310
true true EAST NORTH 147 310
true true NORTH WEST 147 310
true true WEST NORTH 147 310
true true NORTH EAST 147 310
