isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true true EAST SOUTH 178 0
true true SOUTH SOUTH 178 0
true true SOUTH EAST 178 0
true true EAST SOUTH 177 10
true true SOUTH SOUTH 177 10
true true SOUTH NORTH 177 10
true true NORTH EAST 176 20
true true EAST SOUTH 176 20
true true SOUTH SOUTH 176 20
true true SOUTH SOUTH 176 20
true true SOUTH SOUTH 176 20
true true SOUTH SOUTH 176 20
true true SOUTH SOUTH 176 20
true true SOUTH WEST 176 20
true true WEST NORTH 176 20
true true NORTH EAST 176 20
true true EAST WEST 176 20
true true WEST SOUTH 176 20
true true SOUTH SOUTH 176 20
true true SOUTH SOUTH 176 20
true true SOUTH EAST 176 20
true true EAST WEST 176 20
true true WEST WEST 176 20
true true WEST WEST 175 30
true true WEST SOUTH 174 40
true true SOUTH NORTH 174 40
true true NORTH EAST 174 40
true true EAST SOUTH 174 40
true true SOUTH EAST 174 40
true true EAST SOUTH 174 40
true true SOUTH SOUTH 174 40
true true SOUTH WEST 174 40
true true WEST WEST 174 40
true true WEST EAST 174 40
true true EAST NORTH 174 40
true true NORTH WEST 173 50
true true WEST SOUTH 173 50
true true SOUTH EAST 173 50
true true EAST SOUTH 173 50
true true SOUTH WEST 173 50
true true WEST EAST 173 50
true true EAST SOUTH 173 50
true true SOUTH WEST 173 50
true true WEST WEST 173 50
true true WEST NORTH 173 50
true true NORTH NORTH 173 50
true true NORTH NORTH 173 50
true true NORTH NORTH 173 50
true true NORTH WEST 173 50
true true WEST EAST 172 60
true true EAST EAST 172 60
true true EAST EAST 172 60
true true EAST WEST 172 60
true true WEST SOUTH 172 60
true true SOUTH WEST 172 60
true true WEST EAST 172 60
true true EAST NORTH 172 60
true true NORTH NORTH 172 60
true true NORTH EAST 171 70
true true EAST WEST 171 70
true true WEST SOUTH 170 80
true true SOUTH NORTH 170 80
true true NORTH WEST 170 80
true true WEST SOUTH 169 90
true true SOUTH NORTH 169 90
true true NORTH EAST 169 90
true true EAST SOUTH 169 90
true true SOUTH NORTH 169 90
true true NORTH WEST 169 90
true true WEST SOUTH 169 90
true true SOUTH WEST 168 100
true true WEST NORTH 167 110
true true NORTH SOUTH 167 110
true true SOUTH EAST 167 110
true true EAST NORTH 167 110
true true NORTH EAST 167 110
true true EAST SOUTH 167 110
true true SOUTH NORTH 167 110
true true NORTH EAST 167 110
true true EAST WEST 167 110
true true WEST NORTH 167 110
true true NORTH SOUTH 167 110
true true SOUTH EAST 167 110
true true EAST SOUTH 167 110
true true SOUTH EAST 167 110
true true EAST NORTH 167 110
true true NORTH SOUTH 167 110
true true SOUTH EAST 167 110
true true EAST EAST 167 110
true true EAST SOUTH 167 110
true true SOUTH SOUTH 167 110
true true SOUTH NORTH 167 110
true true NORTH NORTH 167 110
true true NORTH EAST 167 110
true true EAST NORTH 167 110
true true NORTH NORTH 167 110
true true NORTH WEST 167 110
true true WEST NORTH 167 110
true true NORTH EAST 167 110
true true EAST NORTH 167 110
true true NORTH WEST 167 110
true true WEST WEST 167 110
true true WEST EAST 167 110
true true EAST SOUTH 167 110
true true SOUTH WEST 167 110
true true WEST SOUTH 167 110
true true SOUTH NORTH 167 110
true true NORTH SOUTH 167 110
true true SOUTH NORTH 167 110
true true NORTH NORTH 167 110
true true NORTH NORTH 167 110
true true NORTH SOUTH 167 110
true true SOUTH NORTH 167 110
true true NORTH SOUTH 167 110
true true SOUTH SOUTH 167 110
true true SOUTH WEST 167 110
true true WEST WEST 167 110
true true WEST EAST 167 110
true true EAST SOUTH 167 110
true true SOUTH NORTH 167 110
true true NORTH SOUTH 167 110
true true SOUTH NORTH 167 110
true true NORTH EAST 167 110
true true EAST NORTH 167 110
true true NORTH WEST 167 110
true true WEST SOUTH 167 110
true true SOUTH WEST 167 110
true true WEST SOUTH 167 110
true true SOUTH SOUTH 167 110
true true SOUTH NORTH 167 110
true true NORTH NORTH 167 110
true true NORTH EAST 167 110
true true EAST NORTH 167 110
true true NORTH EAST 167 110
true true EAST NORTH 167 110
true true NORTH NORTH 167 110
true true NORTH SOUTH 167 110
true true SOUTH NORTH 167 110
true true NORTH EAST 167 110
true true EAST SOUTH 167 110
true true SOUTH EAST 167 110
true true EAST SOUTH 167 110
true true SOUTH NORTH 167 110
true true NORTH WEST 167 110
true true WEST SOUTH 167 110
true true SOUTH NORTH 167 110
true true NORTH WEST 167 110
true true WEST WEST 167 110
true true WEST SOUTH 167 110
true true SOUTH EAST 167 110
true true EAST WEST 167 110
true true WEST EAST 167 110
true true EAST SOUTH 167 110
true true SOUTH SOUTH 167 110
true true SOUTH WEST 167 110
true true WEST WEST 167 110
true true WEST SOUTH 167 110
true true SOUTH WEST 167 110
true true WEST NORTH 166 120
true true NORTH WEST 165 130
true true WEST NORTH 165 130
true true NORTH WEST 164 140
true true WEST WEST 164 140
true true WEST EAST 164 140
true true EAST WEST 164 140
true true WEST NORTH 164 140
true true NORTH NORTH 163 150
true true NORTH WEST 162 160
true true WEST EAST 162 160
true true EAST WEST 162 160
true true WEST NORTH 162 160
true true NORTH SOUTH 162 160
true true SOUTH SOUTH 162 160
true true SOUTH SOUTH 162 160
true true SOUTH NORTH 162 160
true true NORTH NORTH 162 160
true true NORTH EAST 162 160
true true EAST SOUTH 162 160
true true SOUTH SOUTH 162 160
true true SOUTH WEST 162 160
true true WEST SOUTH 162 160
true true SOUTH WEST 162 160
true true WEST WEST 162 160
true true WEST EAST 162 160
true true EAST WEST 162 160
true true WEST NORTH 162 160
true true NORTH NORTH 162 160
true true NORTH SOUTH 162 160
true true SOUTH NORTH 162 160
true true NORTH NORTH 162 160
true true NORTH WEST 162 160
true true WEST NORTH 162 160
true true NORTH WEST 162 160
true true WEST WEST 162 160
true true WEST SOUTH 162 160
true true SOUTH NORTH 162 160
true true NORTH WEST 162 160
true true WEST WEST 162 160
true true WEST EAST 162 160
true true EAST SOUTH 162 160
true true SOUTH SOUTH 162 160
true true SOUTH NORTH 162 160
true true NORTH EAST 162 160
true true EAST EAST 162 160
true true EAST EAST 162 160
true true EAST SOUTH 162 160
true true SOUTH SOUTH 162 160
true true SOUTH NORTH 162 160
true true NORTH SOUTH 162 160
true true SOUTH WEST 162 160
true true WEST EAST 162 160
true true EAST SOUTH 162 160
true true SOUTH NORTH 162 160
true true NORTH EAST 162 160
true true EAST EAST 162 160
true true EAST EAST 162 160
true true EAST SOUTH 162 160
true true SOUTH NORTH 162 160
true true NORTH WEST 162 160
true true WEST SOUTH 162 160
true true SOUTH SOUTH 162 160
true true SOUTH WEST 162 160
true true WEST NORTH 162 160
true true NORTH WEST 161 170
true true WEST EAST 161 170
true true EAST NORTH 161 170
true true NORTH NORTH 160 180
true true NORTH SOUTH 159 190
true true SOUTH WEST 159 190
true true WEST NORTH 159 190
true true NORTH SOUTH 159 190
true true SOUTH EAST 159 190
true true EAST WEST 159 190
true true WEST SOUTH 159 190
true true SOUTH NORTH 159 190
true true NORTH SOUTH 159 190
true true SOUTH SOUTH 159 190
true true SOUTH WEST 159 190
true true WEST EAST 159 190
true true EAST NORTH 159 190
true true NORTH NORTH 159 190
true true NORTH WEST 159 190
true true WEST NORTH 159 190
true true NORTH NORTH 159 190
true true NORTH SOUTH 158 200
true true SOUTH WEST 158 200
true true WEST WEST 158 200
true true WEST WEST 158 200
true true WEST SOUTH 158 200
true true SOUTH EAST 158 200
true true EAST WEST 158 200
true true WEST EAST 158 200
true true EAST SOUTH 158 200
true true SOUTH NORTH 158 200
true true NORTH WEST 158 200
true true WEST WEST 158 200
true true WEST WEST 158 200
true true WEST NORTH 158 200
true true NORTH NORTH 158 200
true true NORTH WEST 158 200
true true WEST WEST 157 -2147483439
true true WEST SOUTH 156 218
true true SOUTH WEST 156 218
true true WEST NORTH 155 -2147483421
true true NORTH WEST 155 -2147483421
true true WEST SOUTH 154 236
true true SOUTH SOUTH 154 236
true true SOUTH NORTH 154 236
true true NORTH NORTH 153 246
true true NORTH EAST 152 256
true true EAST WEST 151 266
true true WEST EAST 151 266
true true EAST EAST 151 266
true true EAST NORTH 150 251
true true NORTH NORTH 150 251
true true NORTH NORTH 150 251
true true NORTH NORTH 150 251
true true NORTH EAST 150 251
true true EAST NORTH 149 236
true true NORTH SOUTH 149 236
true true SOUTH SOUTH 149 236
true true SOUTH NORTH 149 236
true true NORTH EAST 149 236
true true EAST SOUTH 148 221
true true SOUTH WEST 147 206
true true WEST WEST 147 206
true true WEST SOUTH 147 206
true true SOUTH SOUTH 147 206
true true SOUTH NORTH 147 206
true true NORTH NORTH 147 206
true true NORTH EAST 147 206
true true EAST WEST 147 206
true true WEST SOUTH 147 206
true true SOUTH SOUTH 147 206
true true SOUTH SOUTH 147 206
true true SOUTH SOUTH 147 206
true true SOUTH WEST 147 206
true true WEST SOUTH 147 206
true true SOUTH WEST 147 206
true true WEST EAST 147 206
true true EAST EAST 147 206
true true EAST WEST 147 206
true true WEST SOUTH 147 206
true true SOUTH SOUTH 147 206
true true SOUTH WEST 147 206
true true WEST EAST 147 206
true true EAST WEST 147 206
true true WEST NORTH 147 206
true true NORTH WEST 147 206
true true WEST EAST 147 206
true true EAST NORTH 147 206
true true NORTH NORTH 147 206
true true NORTH NORTH 147 206
true true NORTH WEST 147 206
true true WEST SOUTH 147 206
true true SOUTH NORTH 147 206
true true NORTH SOUTH 147 206
true true SOUTH EAST 147 206
true true EAST WEST 147 206
true true WEST EAST 147 206
true true EAST SOUTH 147 206
true true SOUTH NORTH 147 206
true true NORTH WEST 147 206
true true WEST EAST 147 206
true true EAST EAST 147 206
true true EAST WEST 147 206
true true WEST SOUTH 147 206
true true SOUTH NORTH 147 206
true true NORTH EAST 147 206
true true EAST EAST 147 206
true true EAST NORTH 147 206
true true NORTH SOUTH 147 206
true true SOUTH EAST 147 206
true true EAST EAST 147 206
true true EAST WEST 147 206
true true WEST EAST 147 206
true true EAST NORTH 147 206
true true NORTH NORTH 147 206
true true NORTH NORTH 147 206
true true NORTH NORTH 147 206
true true NORTH NORTH 147 206
true true NORTH SOUTH 147 206
true true SOUTH SOUTH 147 206
true true SOUTH SOUTH 147 206
true true SOUTH SOUTH 147 206
true true SOUTH EAST 147 206
true true EAST SOUTH 147 206
true true SOUTH SOUTH 147 206
true true SOUTH SOUTH 147 206
true true SOUTH EAST 147 206
true true EAST EAST 147 206
true true EAST EAST 147 206
true true EAST SOUTH 147 206
true true SOUTH NORTH 147 206
true true NORTH NORTH 147 206
true true NORTH NORTH 147 206
true true NORTH NORTH 147 206
true true NORTH NORTH 147 206
true true NORTH SOUTH 147 206
true true SOUTH WEST 147 206
true true WEST NORTH 147 206
true true NORTH NORTH 147 206
true true NORTH WEST 147 206
true true WEST EAST 147 206
true true EAST SOUTH 147 206
true true SOUTH EAST 147 206
true true EAST NORTH 147 206
true true NORTH NORTH 147 206
true true NORTH EAST 147 206
true true EAST WEST 147 206
true true WEST NORTH 147 206
true true NORTH WEST 147 206
true true WEST EAST 147 206
true true EAST NORTH 147 206
true true NORTH NORTH 146 191
true true NORTH NORTH 145 176
true true NORTH NORTH 145 176
true true NORTH WEST 145 176
true true WEST NORTH 144 -2147483488
true true NORTH EAST 144 -2147483488
true true EAST EAST 144 -2147483488
false true EAST EAST 143 -2147483478
