isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true true EAST EAST 178 0
true true EAST SOUTH 177 10
true true SOUTH NORTH 177 10
true true NORTH NORTH 176 20
true true NORTH EAST 175 30
true true EAST SOUTH 174 40
true true SOUTH SOUTH 174 40
true true SOUTH SOUTH 174 40
true true SOUTH EAST 174 40
true true EAST EAST 173 50
true true EAST WEST 172 60
true true WEST EAST 172 60
true true EAST EAST 172 60
true true EAST WEST 171 70
true true WEST EAST 171 70
true true EAST SOUTH 171 70
true true SOUTH SOUTH 171 70
true true SOUTH SOUTH 171 70
true true SOUTH EAST 171 70
true true EAST WEST 170 80
true true WEST WEST 170 80
true true WEST SOUTH 170 80
true true SOUTH WEST 170 80
true true WEST NORTH 170 80
true true NORTH SOUTH 170 80
true true SOUTH NORTH 170 80
true true NORTH EAST 170 80
true true EAST WEST 170 80
true true WEST SOUTH 170 80
true true SOUTH NORTH 170 80
true true NORTH WEST 170 80
true true WEST EAST 170 80
true true EAST WEST 170 80
true true WEST NORTH 170 80
true true NORTH SOUTH 170 80
true true SOUTH NORTH 170 80
true true NORTH WEST 170 80
true true WEST SOUTH 170 80
true true SOUTH EAST 170 80
true true EAST EAST 170 80
true true EAST EAST 170 80
true true EAST EAST 170 80
true true EAST EAST 170 80
true true EAST NORTH 170 80
true true NORTH EAST 170 80
true true EAST WEST 170 80
true true WEST EAST 170 80
true true EAST WEST 170 80
true true WEST NORTH 170 80
true true NORTH EAST 170 80
true true EAST WEST 170 80
true true WEST NORTH 170 80
true true NORTH WEST 170 80
true true WEST SOUTH 170 80
true true SOUTH WEST 170 80
true true WEST SOUTH 170 80
true true SOUTH SOUTH 170 80
true true SOUTH WEST 170 80
true true WEST NORTH 170 80
true true NORTH WEST 170 80
true true WEST NORTH 170 80
true true NORTH NORTH 170 80
true true NORTH SOUTH 170 80
true true SOUTH WEST 170 80
true true WEST EAST 170 80
true true EAST WEST 170 80
true true WEST NORTH 170 80
true true NORTH WEST 170 80
true true WEST NORTH 170 80
true true NORTH WEST 170 80
true true WEST SOUTH 170 80
true true SOUTH EAST 170 80
true true EAST EAST 170 80
true true EAST SOUTH 170 80
true true SOUTH EAST 170 80
true true EAST SOUTH 170 80
true true SOUTH SOUTH 170 80
true true SOUTH WEST 170 80
true true WEST WEST 170 80
true true WEST NORTH 170 80
true true NORTH WEST 170 80
true true WEST NORTH 170 80
true true NORTH EAST 170 80
true true EAST WEST 170 80
true true WEST WEST 170 80
true true WEST EAST 170 80
true true EAST WEST 170 80
true true WEST WEST 170 80
true true WEST EAST 170 80
true true EAST EAST 170 80
true true EAST WEST 170 80
true true WEST WEST 170 80
true true WEST EAST 170 80
true true EAST NORTH 170 80
true true NORTH NORTH 170 80
true true NORTH SOUTH 170 80
true true SOUTH WEST 170 80
true true WEST WEST 170 80
true true WEST NORTH 170 80
true true NORTH NORTH 170 80
true true NORTH WEST 170 80
true true WEST SOUTH 170 80
true true SOUTH NORTH 170 80
true true NORTH WEST 170 80
true true WEST WEST 169 90
true true WEST SOUTH 169 90
true true SOUTH SOUTH 169 90
true true SOUTH NORTH 169 90
true true NORTH NORTH 169 90
true true NORTH SOUTH 169 90
true true SOUTH SOUTH 169 90
true true SOUTH EAST 169 90
true true EAST WEST 169 90
true true WEST SOUTH 169 90
true true SOUTH WEST 169 90
true true WEST EAST 169 90
true true EAST NORTH 169 90
true true NORTH WEST 169 90
true true WEST NORTH 169 90
true true NORTH SOUTH 169 90
true true SOUTH SOUTH 169 90
true true SOUTH NORTH 169 90
true true NORTH EAST 169 90
true true EAST SOUTH 169 90
true true SOUTH EAST 169 90
true true EAST NORTH 169 90
true true NORTH EAST 168 100
true true EAST SOUTH 168 100
true true SOUTH EAST 168 100
true true EAST SOUTH 168 100
true true SOUTH SOUTH 168 100
true true SOUTH SOUTH 168 100
true true SOUTH WEST 168 100
true true WEST WEST 168 100
true true WEST SOUTH 168 100
true true SOUTH EAST 168 100
true true EAST NORTH 168 100
true true NORTH WEST 168 100
true true WEST WEST 168 100
true true WEST WEST 168 100
true true WEST EAST 168 100
true true EAST NORTH 168 100
true true NORTH NORTH 167 110
true true NORTH NORTH 166 120
true true NORTH SOUTH 165 130
true true SOUTH SOUTH 165 130
true true SOUTH SOUTH 165 130
true true SOUTH WEST 165 130
true true WEST NORTH 165 130
true true NORTH EAST 165 130
true true EAST EAST 165 130
true true EAST SOUTH 165 130
true true SOUTH EAST 165 130
true true EAST EAST 165 130
true true EAST EAST 165 130
true true EAST EAST 165 130
true true EAST SOUTH 165 130
true true SOUTH SOUTH 165 130
true true SOUTH NORTH 164 140
true true NORTH SOUTH 164 140
true true SOUTH SOUTH 164 140
true true SOUTH EAST 163 150
true true EAST NORTH 163 150
true true NORTH SOUTH 163 150
true true SOUTH SOUTH 163 150
true true SOUTH NORTH 162 160
true true NORTH WEST 162 160
true true WEST EAST 162 160
true true EAST SOUTH 162 160
true true SOUTH EAST 162 160
true true EAST SOUTH 162 160
true true SOUTH WEST 161 170
true true WEST EAST 160 -2147483469
true true EAST NORTH 160 -2147483469
true true NORTH SOUTH 160 -2147483469
true true SOUTH WEST 160 -2147483469
true true WEST EAST 160 -2147483469
true true EAST SOUTH 160 -2147483469
true true SOUTH NORTH 159 -2147483459
true true NORTH SOUTH 159 -2147483459
true true SOUTH WEST 159 -2147483459
true true WEST NORTH 159 -2147483459
true true NORTH WEST 159 -2147483459
true true WEST EAST 159 -2147483459
true true EAST SOUTH 159 -2147483459
true true SOUTH EAST 159 -2147483459
true true EAST WEST 159 -2147483459
true true WEST SOUTH 159 -2147483459
true true SOUTH WEST 158 -2147483449
true true WEST NORTH 158 -2147483449
true true NORTH SOUTH 158 -2147483449
true true SOUTH EAST 158 -2147483449
true true EAST SOUTH 157 -2147483439
true true SOUTH EAST 157 -2147483439
true true EAST NORTH 156 -2147483429
true true NORTH WEST 156 -2147483429
true true WEST SOUTH 156 -2147483429
true true SOUTH SOUTH 156 -2147483429
true true SOUTH EAST 156 -2147483429
true true EAST WEST 156 -2147483429
true true WEST SOUTH 156 -2147483429
true true SOUTH SOUTH 156 -2147483429
true true SOUTH NORTH 156 -2147483429
true true NORTH EAST 156 -2147483429
true true EAST EAST 156 -2147483429
true true EAST SOUTH 155 -2147483419
true true SOUTH WEST 155 -2147483419
true true WEST NORTH 155 -2147483419
true true NORTH WEST 155 -2147483419
true true WEST EAST 155 -2147483419
true true EAST EAST 155 -2147483419
true true EAST WEST 155 -2147483419
true true WEST SOUTH 155 -2147483419
true true SOUTH EAST 154 -2147483409
true true EAST WEST 154 -2147483409
true true WEST WEST 154 -2147483409
true true WEST WEST 154 -2147483409
true true WEST WEST 154 -2147483409
true true WEST EAST 154 -2147483409
true true EAST SOUTH 154 -2147483409
true true SOUTH NORTH 153 -2147483399
true true NORTH WEST 153 -2147483399
true true WEST NORTH 153 -2147483399
true true NORTH WEST 153 -2147483399
true true WEST EAST 153 -2147483399
true true EAST NORTH 153 -2147483399
true true NORTH SOUTH 153 -2147483399
true true SOUTH SOUTH 153 -2147483399
