isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true true EAST NORTH 178 0
true true NORTH SOUTH 178 0
true true SOUTH EAST 178 0
true true EAST EAST 177 10
true true EAST EAST 176 20
true true EAST SOUTH 175 30
true true SOUTH WEST 175 30
true true WEST SOUTH 175 30
true true SOUTH WEST 175 30
true true WEST EAST 175 30
true true EAST WEST 175 30
true true WEST SOUTH 175 30
true true SOUTH EAST 175 30
true true EAST EAST 175 30
true true EAST WEST 175 30
true true WEST WEST 175 30
true true WEST EAST 175 30
true true EAST NORTH 175 30
true true NORTH EAST 175 30
true true EAST WEST 175 30
true true WEST EAST 175 30
true true EAST SOUTH 175 30
true true SOUTH SOUTH 175 30
true true SOUTH NORTH 175 30
true true NORTH EAST 175 30
true true EAST EAST 174 40
true true EAST NORTH 173 50
true true NORTH SOUTH 173 50
true true SOUTH NORTH 173 50
true true NORTH EAST 173 50
true true EAST NORTH 172 60
true true NORTH NORTH 171 70
true true NORTH SOUTH 170 80
true true SOUTH WEST 170 80
true true WEST NORTH 170 80
true true NORTH NORTH 170 80
true true NORTH SOUTH 169 90
true true SOUTH EAST 169 90
true true EAST SOUTH 168 100
true true SOUTH EAST 168 100
true true EAST SOUTH 167 110
true true SOUTH SOUTH 167 110
true true SOUTH NORTH 167 110
true true NORTH NORTH 167 110
true true NORTH WEST 167 110
true true WEST SOUTH 167 110
true true SOUTH WEST 167 110
true true WEST SOUTH 167 110
true true SOUTH EAST 167 110
true true EAST WEST 167 110
true true WEST EAST 167 110
true true EAST NORTH 167 110
true true NORTH SOUTH 167 110
true true SOUTH SOUTH 167 110
true true SOUTH WEST 167 110
true true WEST NORTH 167 110
true true NORTH WEST 167 110
true true WEST NORTH 167 110
true true NORTH EAST 167 110
true true EAST NORTH 167 110
true true NORTH SOUTH 167 110
true true SOUTH SOUTH 167 110
true true SOUTH SOUTH 167 110
true true SOUTH NORTH 167 110
true true NORTH NORTH 167 110
true true NORTH EAST 167 110
true true EAST NORTH 167 110
true true NORTH EAST 167 110
true true EAST EAST 167 110
true true EAST NORTH 167 110
true true NORTH SOUTH 167 110
true true SOUTH WEST 167 110
true true WEST EAST 167 110
true true EAST WEST 167 110
true true WEST NORTH 167 110
true true NORTH SOUTH 167 110
true true SOUTH WEST 167 110
true true WEST EAST 167 110
true true EAST NORTH 167 110
true true NORTH NORTH 167 110
true true NORTH SOUTH 167 110
true true SOUTH NORTH 167 110
true true NORTH NORTH 167 110
true true NORTH NORTH 166 120
true true NORTH EAST 165 130
true true EAST WEST 165 130
true true WEST SOUTH 165 130
true true SOUTH WEST 165 130
true true WEST EAST 165 130
true true EAST NORTH 165 130
true true NORTH SOUTH 165 130
true true SOUTH EAST 165 130
true true EAST NORTH 165 130
true true NORTH EAST 165 130
true true EAST WEST 165 130
true true WEST EAST 165 130
true true EAST EAST 165 130
true true EAST EAST 165 130
true true EAST WEST 165 130
true true WEST EAST 165 130
true true EAST EAST 165 130
true true EAST NORTH 165 130
true true NORTH WEST 164 140
true true WEST WEST 164 140
true true WEST WEST 164 140
true true WEST WEST 164 140
true true WEST EAST 164 140
true true EAST EAST 164 140
true true EAST SOUTH 164 140
true true SOUTH NORTH 164 140
true true NORTH SOUTH 164 140
true true SOUTH WEST 164 140
true true WEST SOUTH 164 140
true true SOUTH NORTH 164 140
true true NORTH SOUTH 164 140
true true SOUTH SOUTH 164 140
true true SOUTH EAST 164 140
true true EAST WEST 164 140
true true WEST NORTH 164 140
true true NORTH EAST 164 140
true true EAST EAST 164 140
true true EAST SOUTH 164 140
true true SOUTH NORTH 164 140
true true NORTH NORTH 164 140
true true NORTH WEST 164 140
true true WEST WEST 164 140
true true WEST NORTH 164 140
true true NORTH WEST 164 140
true true WEST WEST 164 140
