isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true true EAST WEST 178 0
true true WEST WEST 177 10
true true WEST SOUTH 176 20
true true SOUTH NORTH 176 20
true true NORTH SOUTH 176 20
true true SOUTH SOUTH 176 20
true true SOUTH NORTH 176 20
true true NORTH SOUTH 176 20
true true SOUTH EAST 176 20
true true EAST NORTH 176 20
true true NORTH NORTH 175 30
true true NORTH EAST 174 40
true true EAST NORTH 174 40
true true NORTH EAST 174 40
true true EAST NORTH 174 40
true true NORTH WEST 174 40
true true WEST EAST 173 50
true true EAST NORTH 173 50
true true NORTH NORTH 173 50
true true NORTH WEST 173 50
true true WEST WEST 173 50
true true WEST WEST 172 60
true true WEST WEST 171 70
true true WEST NORTH 170 80
true true NORTH SOUTH 170 80
true true SOUTH WEST 170 80
true true WEST EAST 169 90
true true EAST EAST 169 90
true true EAST EAST 169 90
true true EAST WEST 169 90
true true WEST WEST 169 90
true true WEST SOUTH 169 90
true true SOUTH WEST 169 90
true true WEST NORTH 169 90
true true NORTH EAST 168 100
true true EAST WEST 168 100
true true WEST SOUTH 168 100
true true SOUTH WEST 168 100
true true WEST EAST 167 110
true true EAST SOUTH 167 110
true true SOUTH SOUTH 166 120
true true SOUTH WEST 165 130
true true WEST WEST 165 130
true true WEST WEST 165 130
true true WEST WEST 165 130
true true WEST EAST 165 130
true true EAST EAST 164 140
true true EAST NORTH 163 150
true true NORTH WEST 163 150
true true WEST EAST 163 150
true true EAST EAST 163 150
true true EAST SOUTH 162 160
true true SOUTH WEST 162 160
true true WEST WEST 162 160
true true WEST EAST 162 160
true true EAST EAST 162 160
true true EAST NORTH 162 160
true true NORTH NORTH 162 160
true true NORTH EAST 162 160
true true EAST NORTH 162 160
true true NORTH EAST 162 160
true true EAST NORTH 162 160
true true NORTH NORTH 162 160
true true NORTH SOUTH 162 160
true true SOUTH SOUTH 162 160
true true SOUTH EAST 162 160
true true EAST WEST 162 160
true true WEST EAST 162 160
true true EAST NORTH 162 160
true true NORTH NORTH 162 160
true true NORTH WEST 162 160
true true WEST NORTH 162 160
true true NORTH NORTH 162 160
true true NORTH WEST 162 160
true true WEST SOUTH 162 160
true true SOUTH NORTH 162 160
true true NORTH EAST 162 160
true true EAST EAST 162 160
true true EAST EAST 162 160
true true EAST SOUTH 162 160
true true SOUTH WEST 162 160
true true WEST EAST 162 160
true true EAST EAST 162 160
true true EAST EAST 162 160
true true EAST SOUTH 162 160
true true SOUTH EAST 162 160
true true EAST WEST 162 160
true true WEST NORTH 162 160
true true NORTH WEST 162 160
true true WEST WEST 162 160
true true WEST NORTH 162 160
true true NORTH EAST 162 160
true true EAST SOUTH 162 160
true true SOUTH EAST 162 160
true true EAST SOUTH 162 160
true true SOUTH EAST 162 160
true true EAST SOUTH 162 160
true true SOUTH EAST 162 160
true true EAST EAST 161 170
true true EAST SOUTH 160 180
true true SOUTH EAST 160 180
true true EAST SOUTH 159 190
true true SOUTH SOUTH 159 190
true true SOUTH EAST 159 190
true true EAST SOUTH 158 200
true true SOUTH NORTH 157 210
true true NORTH SOUTH 157 210
true true SOUTH NORTH 157 210
true true NORTH NORTH 157 210
true true NORTH NORTH 157 210
true true NORTH WEST 157 210
true true WEST NORTH 157 210
true true NORTH SOUTH 157 210
true true SOUTH EAST 157 210
true true EAST WEST 157 210
true true WEST NORTH 157 210
true true NORTH SOUTH 157 210
true true SOUTH EAST 157 210
true true EAST SOUTH 157 210
true true SOUTH WEST 157 210
true true WEST NORTH 157 210
true true NORTH WEST 157 210
true true WEST EAST 157 210
true true EAST NORTH 157 210
true true NORTH SOUTH 157 210
true true SOUTH WEST 157 210
true true WEST NORTH 157 210
true true NORTH WEST 157 210
true true WEST EAST 157 210
true true EAST NORTH 157 210
true true NORTH NORTH 157 210
true true NORTH NORTH 157 210
true true NORTH WEST 157 210
true true WEST EAST 157 210
true true EAST SOUTH 157 210
true true SOUTH SOUTH 157 210
true true SOUTH WEST 156 220
true true WEST NORTH 155 -2147483419
true true NORTH NORTH 155 -2147483419
true true NORTH NORTH 155 -2147483419
true true NORTH NORTH 155 -2147483419
